id,Subject,Type,Status,Assignee,Priority,Work,Total work,Version,Team,Story Points,Sprint,Project phase,Project,Position,Parent,Created on,Author,Accountable,Description
295,Level_Tạo Map Test ,Summary task,Developed,Thống Trần Cao,Normal,"",12.0,"",Level,"","","",VNRacing,88,"User story #284: Là người chơi, tôi muốn cảm giác va chạm mang tính Arcade để giữ nhịp độ cuộc đua ổn định, xe không bị lật và nhanh chóng quay lại đường đua sau khi tông vào tường hoặc vật thể",06/11/2026 10:50 AM,Giang Dương Võ Trà,"",""
298,CUSTOMIZE ,Epic,In specification,"",Normal,"",40.0,"",Game Design,"","","",VNRacing,91,"",06/11/2026 11:03 AM,Giang Dương Võ Trà,"",""
299,Customize Room_Theme Change ,Sub Feature,New,"",Normal,"",24.0,"",2D,"","","",VNRacing,92,Feature #400: Theme Change,06/11/2026 11:03 AM,Giang Dương Võ Trà,"",""
301,FX_UI_US 293,Summary task,In specification,Hoàng Trần Văn Huy,Normal,"","","",FX,"","","",VNRacing,94,"User story #293: Là người chơi, tôi muốn được trao thưởng Items mỗi khi hoàn thành một cuộc đua để tăng động lực hoàn thành các cuộc đua.",06/11/2026 11:15 AM,Giang Dương Võ Trà,"",""
302,"Là người chơi, tôi muốn biết tiến trình các nhiệm vụ mình cần phải làm để hoàn thành một City",User story,In specification,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,95,Sub Feature #331: Goals Unlock,06/11/2026 11:36 AM,Giang Dương Võ Trà,"","\- Update trạng thái của nhiệm vụ trong CityGoals mỗi khi người chơi đạt mốc hoàn thành.  
\- UI Update trạng thái của CityGoals mỗi khi người chơi hoàn thành một mốc Progression.  
\- UI Update trạng thái của CityGoals luôn xuất hiện cao nhất mỗi khi tiến trình được Update dù người chơi đang ở Screen nào đi nữa."
303,"Là QA, tôi muốn hoàn thành nhanh một cuộc đua bất kỳ để kiểm tra luồng trả thưởng",User story,In progress,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,96,Epic #183: VNTour ,06/11/2026 11:37 AM,Giang Dương Võ Trà,"",""
305,"Là người chơi, tôi muốn được trao thưởng theo từng mốc hoàn thành các CityGoals để có thêm động lực tiến tới mục tiêu Unlock một City mới.",User story,Specified,Phước Hồ Đức,Normal,"",4.0,"",Game Design,"","","",VNRacing,97,Sub Feature #386: Item Unlock,06/11/2026 01:22 PM,Giang Dương Võ Trà,"","\- Các nút Claims kích hoạt các Popup UI trao thưởng.  
\- Kích hoạt trao thưởng cho người chơi khi hoàn thành bất cứ CityGoal nào từ Tiers 1 -&gt; Tiers 3  
\- Xác định sẵn công thức hoặc DataTable trả thưởng cho người chơi mỗi khi hoàn thành một Goals.  
\- Các Goals trong Panel Goals hiện nút Claims mỗi khi hoàn thành một nhiệm vụ."
306,"Là GD, tôi muốn trao thưởng cho Player các Items thuộc về Item Pool của City đó theo các quy định đã đề ra để đảm bảo trải nghiệm trao thưởng của người chơi có ý nghĩa.",User story,In progress,Phước Hồ Đức,Normal,"",6.0,"",Game Design,"","","",VNRacing,98,Feature #345: Reward,06/11/2026 01:22 PM,Giang Dương Võ Trà,"",""
307,"Là người chơi, tôi muốn biết mình cần làm những nhiệm vụ nào để hoàn thành một City để có định hướng khi chơi Game.",User story,Specified,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,99,Sub Feature #331: Goals Unlock,06/11/2026 01:23 PM,Giang Dương Võ Trà,"",(US 3379 cũ)
308,"Là QC, tôi muốn có khả năng hoàn thành nhanh các City từ C1 - C5 và ngược lại để Review hạng mục liên quan tới City đó như Cash, Unlock Cars, Car Rating, v.v",User story,In specification,Phước Hồ Đức,Normal,"",22.0,"",Game Design,"",User Story Submit ( 15/6-28/6/2026) ,"",VNRacing,3,Sub Feature #339: Map Scene Unlock,06/11/2026 01:23 PM,Giang Dương Võ Trà,"","\- Bảng Debug cho phép nhảy nhanh qua các City từ C1- C5 với các hạng mục thay đổi tương ứng.

\- Các hạng mục thay đổi bao gồm:

*   Cash trong Player Wallet.
    
*   Update bảng Goal mới cho City.
    
*   Items trong Inventory.
    
*   Số lượng xe sở hữu trong Player Garage ( Chọn trong Customize)
    
*   Chỉnh sửa chỉ số sức mạnh xe theo mẫu (Car CR).
    
*   Bản đồ của thành phố được Unlock xem được trong Map VN tour (US <mention class=""mention"" data-id=""410"" data-type=""work_package"" data-text=""#410"">#410</mention> )"
309,"	Là QA, tôi muốn có khả năng kích hoạt trao thưởng bất kỳ lúc nào trong Game để check xem tỉ lệ trao thưởng có hợp lý hay không.",User story,In progress,Phước Hồ Đức,Normal,"",2.0,"",Game Design,"","","",VNRacing,100,Feature #345: Reward,06/11/2026 01:23 PM,Giang Dương Võ Trà,"",""
310,"Là người chơi, tôi muốn các Item trao thưởng trong một thành phố đi liền với các xe mà tôi đã Unlock để cảm giác Progression được liền mạch và có ý nghĩa",User story,Specified,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,101,Sub Feature #386: Item Unlock,06/11/2026 01:23 PM,Giang Dương Võ Trà,"","(US 3381 cũ)  
\- Quy định Reward ItemPool cho từng City.  
\- Rút phần thưởng ra chỉ từ Reward Item Pool của các City đó."
317,FX_UI_US 2409,Summary task,New,"",Normal,"",4.0,"",FX,"","","",VNRacing,102,"User story #305: Là người chơi, tôi muốn được trao thưởng theo từng mốc hoàn thành các CityGoals để có thêm động lực tiến tới mục tiêu Unlock một City mới.",06/12/2026 10:56 AM,Giang Dương Võ Trà,"",""
318,FX_UI521_Card Item ,Task,Waiting for approve,Hoàng Trần Văn Huy,Normal,4.0,"","",FX,"","","",VNRacing,103,Summary task #317: FX_UI_US 2409,06/12/2026 10:57 AM,Giang Dương Võ Trà,"","update lại theo tài liệu như: luôn luôn chỉ nhận được x1 card, màu độ hiếm (trắng - common, blue - uncommon, xanh lá - rare)"
319,Asset Making_Prop,Task,New,Nam Nguyễn Kỳ,Normal,"","","",3D ,"","","",VNRacing,104,Summary task #207: Asset Making_Quốc Học Huế,06/12/2026 11:07 AM,Giang Dương Võ Trà,"",""
320,Main menu_Theme Change,Sub Feature,New,"",Normal,"","","",2D,"","","",VNRacing,105,Feature #400: Theme Change,06/12/2026 11:22 AM,Giang Dương Võ Trà,"",""
322,Dev_Implement_US 3382 ,Summary task,Specified,Long Trần Anh Thượng,Normal,"",6.0,"",Dev,"","","",VNRacing,107,"User story #306: Là GD, tôi muốn trao thưởng cho Player các Items thuộc về Item Pool của City đó theo các quy định đã đề ra để đảm bảo trải nghiệm trao thưởng của người chơi có ý nghĩa.",06/12/2026 01:21 PM,Giang Dương Võ Trà,"",""
324,Basic Racing,Feature,In specification,"",Normal,"",24.0,"",Game Design,"","","",VNRacing,109,Epic #151: Drive Mode,06/12/2026 01:38 PM,Giang Dương Võ Trà,"",""
325,Customize Room Ver 04 ,User story,New,"",Normal,"",24.0,"",2D,"","","",VNRacing,110,Sub Feature #299: Customize Room_Theme Change ,06/12/2026 03:35 PM,Giang Dương Võ Trà,"",""
326,Level_Asset Assembly_Customize Room ver 04,Summary task,In progress,Nhật Võ Tấn,Normal,"",24.0,"",Level,"","","",VNRacing,111,User story #325: Customize Room Ver 04 ,06/12/2026 03:36 PM,Giang Dương Võ Trà,"",""
327,Level_Assembly_Customize room ver 4,Task,Waiting for approve,Nhật Võ Tấn,Normal,12.0,"","",Level,"","","",VNRacing,112,Summary task #326: Level_Asset Assembly_Customize Room ver 04,06/12/2026 03:38 PM,Giang Dương Võ Trà,"",""
328,Level_Setup Lighting_Bake_Customize Room Ver 4,Task,Waiting for approve,Nhật Võ Tấn,Normal,12.0,"","",Level,"","","",VNRacing,113,Summary task #326: Level_Asset Assembly_Customize Room ver 04,06/12/2026 03:39 PM,Giang Dương Võ Trà,"",""
329,City Progression,Feature,In specification,Phước Hồ Đức,Normal,"",60.0,"",Game Design,"","","",VNRacing,114,Epic #183: VNTour ,06/12/2026 03:57 PM,Son Nguyen,"","*   Unlock city
    
    *   Hoàn thành city goal City1 -City 2 hoàn thành sang city 3
        
        *   Hoàn thành city goal-reward
            
*   Goal Update
    
    *   Theo thiết kế
        
    *   UI - Aimation
        
    *   Map -Placeholder
        
    *   Track-Placeholder
        
*   <br>
    
*   Hiển thị UI show dc reward city 1 và 2 đã nhận
    
*   Bao gồm cả item
    
*   Unlock xe
    
*   Tổng số các goal hoàn thành được ( Unlock Goal)
    
*   Lập trình Goal - Goal debug
    
*   Vị trí nhập liệu cho Goal"
331,Goals Unlock,Sub Feature,New,Phước Hồ Đức,Normal,"",8.0,"",Game Design,"","","",VNRacing,115,Feature #329: City Progression,06/12/2026 04:07 PM,Son Nguyen,"","Sub Feature liên quan tới các chức năng:  
\- Update Goals mới khi vào City.  
\- Update tiến trình Goals trong khi chơi."
332,Customize Room Ver 05,User story,New,"",Normal,"","","",2D,"","","",VNRacing,116,Sub Feature #299: Customize Room_Theme Change ,06/12/2026 04:20 PM,Giang Dương Võ Trà,"",""
333,Goals Config,Sub Feature,New,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,117,Feature #329: City Progression,06/12/2026 04:39 PM,Son Nguyen,"","*   Tổng số các goal hoàn thành được ( Unlock Goal)
    
*   Lập trình Goal - Goal debug
    
*   Vị trí nhập liệu cho Goal"
334,NOS,Feature,New,"",Normal,"","","",Game Design,"","","",VNRacing,118,Epic #151: Drive Mode,06/12/2026 04:39 PM,Giang Dương Võ Trà,"",""
335,RAMP,Feature,New,"",Normal,"","","",Game Design,"","","",VNRacing,119,Epic #151: Drive Mode,06/12/2026 04:39 PM,Giang Dương Võ Trà,"",""
336,CAMERA,Feature,In progress,"",Normal,"",86.0,"",Game Design,"","","",VNRacing,120,Epic #151: Drive Mode,06/12/2026 04:40 PM,Giang Dương Võ Trà,"",""
337,Car Unlock,Sub Feature,New,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,121,"",06/12/2026 04:41 PM,Son Nguyen,"","Unlock Car thưởng sau khi mở City, Chạy cinematic"
338,SETTING,Feature,New,"",Normal,"","","",Game Design,"","","",VNRacing,122,Epic #151: Drive Mode,06/12/2026 04:43 PM,Giang Dương Võ Trà,"",""
339,Map Scene Unlock,Sub Feature,New,Phước Hồ Đức,Normal,"",48.0,"",Game Design,"","","",VNRacing,123,Feature #329: City Progression,06/12/2026 04:51 PM,Son Nguyen,"","Khi Unlock City thì Unlock Cinematic của City đó.  
Debug Unlock City có thể Unlock City và Review Cinematic khi hoàn thành một City:  
\- Unlock các city bất kỳ, Unlock city nào thì Unlock luôn các city trước đó.  
\- Review được Introduce scene của City được Unlock."
341,Area-Track Unlock,Feature,In specification,Phước Hồ Đức,High,"",108.0,"",Game Design,"","","",VNRacing,124,Epic #183: VNTour ,06/12/2026 05:01 PM,Son Nguyen,"",""
342,Track Selection,Sub Feature,New,Phước Hồ Đức,Normal,"",68.0,"",Game Design,"","","",VNRacing,125,Feature #341: Area-Track Unlock,06/12/2026 05:03 PM,Son Nguyen,"","*   Chọn track
    
*   Load track
    
*   Highlght track (phần art)- đã có
    
*   Track record ( vị thứ đã về của người chơi),&nbsp;
    
*   Cập nhật tiến trình khu vực (Area Panel Update)
    
*   Hiệu ứng UI và Animation cho việc cập nhật tiến trình"
343,Track Config,Sub Feature,New,Phước Hồ Đức,Normal,"",40.0,"",Game Design,"","","",VNRacing,126,Feature #341: Area-Track Unlock,06/12/2026 05:07 PM,Son Nguyen,"","*   Setup Độ khó cho track ở Debug.
    
*   Track Config ( tool để GD nhập bảng).
    
*   Hệ thống Placeholder cho các nội dung chưa định danh (Dummy)
    
*   Chế độ Đua mô phỏng (Fast Result) cho Dummy Track"
344,Car-Progression,Feature,In specification,"",Normal,"","","",Game Design,"","","",VNRacing,127,Epic #183: VNTour ,06/15/2026 09:26 AM,Son Nguyen,"",""
345,Reward,Feature,New,"",High,"",56.0,"",Game Design,"","","",VNRacing,128,Epic #183: VNTour ,06/15/2026 09:35 AM,Son Nguyen,"",""
346,Dev_Implement_3380(cũ)_Là người chơi tôi muốn biết tiến trình và nhiệm vụ phải làm để hoàn thành 1 City,Summary task,In specification,Long Trần Anh Thượng,Normal,"","","",Dev,"","","",VNRacing,129,"User story #302: Là người chơi, tôi muốn biết tiến trình các nhiệm vụ mình cần phải làm để hoàn thành một City",06/15/2026 10:03 AM,Giang Dương Võ Trà,"",""
347,GD_Document_Basic Racing ,Summary task,In specification,Phước Hồ Đức,Normal,"",4.0,"",Game Design,"","","",VNRacing,130,Feature #324: Basic Racing,06/15/2026 11:37 AM,Giang Dương Võ Trà,"",""
348,GD_Play test_US 306_Trao thưởng các item thuộc về Item Pool...,Task,New,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,131,"User story #306: Là GD, tôi muốn trao thưởng cho Player các Items thuộc về Item Pool của City đó theo các quy định đã đề ra để đảm bảo trải nghiệm trao thưởng của người chơi có ý nghĩa.",06/15/2026 11:41 AM,Giang Dương Võ Trà,"",""
349,GD_Play test_US308_Debug_Unlock City_C1-C5,Task,New,Phước Hồ Đức,Normal,2.0,"","",Game Design,"","","",VNRacing,132,"User story #308: Là QC, tôi muốn có khả năng hoàn thành nhanh các City từ C1 - C5 và ngược lại để Review hạng mục liên quan tới City đó như Cash, Unlock Cars, Car Rating, v.v",06/15/2026 11:45 AM,Giang Dương Võ Trà,"",""
350,GD_ Play test_US 303 ,Summary task,In specification,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,133,"User story #303: Là QA, tôi muốn hoàn thành nhanh một cuộc đua bất kỳ để kiểm tra luồng trả thưởng",06/15/2026 01:19 PM,Giang Dương Võ Trà,"",""
351," Tôi muốn có cảm giác đua xe ARCADE , DRIFT để thu thập NOS ",User story,In progress,Phước Hồ Đức,Normal,"",4.0,"",Game Design,"","","",VNRacing,134,Feature #324: Basic Racing,06/15/2026 01:25 PM,Giang Dương Võ Trà,"",""
353," Là người chơi, tôi muốn có thể điều chỉnh độ nhạy của Steering để kiểm soát xe mượt mà hơn theo kỹ năng cá nhân",User story,In progress,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,136,Feature #338: SETTING,06/15/2026 01:27 PM,Giang Dương Võ Trà,"",""
354,GD_ Play test_US 353_Độ nhạy của Steering ,Task,New,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,137,"User story #353:  Là người chơi, tôi muốn có thể điều chỉnh độ nhạy của Steering để kiểm soát xe mượt mà hơn theo kỹ năng cá nhân",06/15/2026 01:28 PM,Giang Dương Võ Trà,"",""
359,Update tài liệu GDD của Destruction Objects ( Drive Mode - Collision - Destruction Object ),Task,New,Phước Hồ Đức,High,4.0,"","",Game Design,"","","",VNRacing,139,"",06/15/2026 03:18 PM,Phước Hồ Đức,"","Các US liên quan:  
Là người chơi, tôi muốn có thể va chạm và phá hủy các chướng ngại vật ngẫu nhiên trên đường đua để nhận được thêm Nitrous (NOS), tạo cảm giác thống trị và kịch tính hơn trong cuộc đua"
361,Test và FB cho hạng mục Progression #3382,Task,New,Phước Hồ Đức,Normal,4.0,"","",Game Design,"","","",VNRacing,141,"",06/15/2026 03:52 PM,Phước Hồ Đức,"",""
362,Test và FB cho hạng mục Progression #3378,Task,New,Phước Hồ Đức,Normal,4.0,"","",Game Design,"","","",VNRacing,142,"",06/15/2026 03:53 PM,Phước Hồ Đức,"",""
366,SHOP & IAP,Epic,New,"",Normal,"",20.0,"",Dev,"","","",VNRacing,143,"",06/16/2026 11:10 AM,Giang Dương Võ Trà,"",""
368,Sketch 7 key visual_Hồ Thuỷ Tiên,Task,In progress,Châu Nguyễn Ngọc Á,Normal,38.0,"","",2D,"","","",VNRacing,145,Summary task #197: Asset Concept_Hồ Thuỷ Tiên,06/16/2026 11:33 AM,Giang Dương Võ Trà,"",""
369,Finalize 7 key visual_Hồ Thuỷ Tiên,Task,New,Châu Nguyễn Ngọc Á,Normal,48.0,"","",2D,"","","",VNRacing,146,Summary task #197: Asset Concept_Hồ Thuỷ Tiên,06/16/2026 11:33 AM,Giang Dương Võ Trà,"",""
370,Breakdown Asset List & VFX List_Hồ Thuỷ Tiên,Task,New,Châu Nguyễn Ngọc Á,Normal,8.0,"","",2D,"","","",VNRacing,147,Summary task #197: Asset Concept_Hồ Thuỷ Tiên,06/16/2026 11:34 AM,Giang Dương Võ Trà,"",""
371,Minimap ,Sub Feature,New,"",Normal,"",16.0,"",Game Design,"","","",VNRacing,148,Feature #324: Basic Racing,06/16/2026 02:42 PM,Giang Dương Võ Trà,"",""
375,"Là người chơi, tôi muốn Camera di chuyển linh hoạt theo hướng bẻ lái để mở rộng tầm nhìn về phía góc cua và tăng cảm giác chân thực",User story,In progress,Phước Hồ Đức,Normal,"",14.0,"",Game Design,"",User Story Submit ( 15/6-28/6/2026) ,"",VNRacing,5,Feature #336: CAMERA,06/17/2026 08:37 AM,Giang Dương Võ Trà,"","**DriveMode - Camera - Steering**

\- Khi rẽ trái/phải, Camera phải di chuyển theo phương ngang một chút về hướng đó  
\- Nếu người chơi đổi hướng rẽ đột ngột, Camera phải quay về vị trí cân bằng ở giữa trước khi di chuyển sang hướng mới  
\- Nếu chưa đạt vị trí tối đa mà người chơi đã đổi hướng, Camera phải dừng ngay lập tức và quay về tâm  
\- Hiệu ứng này phải đồng bộ kích hoạt với hiệu ứng Suspension của xe trong DriveMode - Physics - Suspension.  
\- Các thay đổi Camera này phải diễn ra thông qua biểu đồ Curve để đảm bảo quá trình chuyển đổi (Blending) mượt mà,"
376,"Là người chơi, tôi muốn Camera có góc nhìn rộng và mạnh mẽ hơn khi thực hiện cú Drift để tăng cảm giác phấn khích của dòng game Arcade",User story,In progress,Phước Hồ Đức,Normal,"",10.0,"",Game Design,"","","",VNRacing,152,Feature #336: CAMERA,06/17/2026 08:38 AM,Giang Dương Võ Trà,"","\- Các cơ chế di chuyển ngang tương tự Steering nhưng với chỉ số khoảng cách lớn hơn  
\- Camera phải tự động tăng nhẹ trường nhìn (Field of View - FOV) trong suốt quá trình Drift  
\- Các thay đổi Camera này phải diễn ra thông qua biểu đồ Curve để đảm bảo quá trình chuyển đổi (Blending) mượt mà,"
377,"Là người chơi, tôi muốn thấy hiệu ứng Camera giật mạnh và thay đổi tiêu cự khi dùng NOS để cảm nhận được gia tốc cực đại của xe",User story,In progress,Phước Hồ Đức,Normal,"",20.0,"",Game Design,"","","",VNRacing,153,Feature #336: CAMERA,06/17/2026 08:38 AM,Giang Dương Võ Trà,"","**DriveMode - Camera - NOS**

\- Khi kích hoạt NOS, Camera phải giật mạnh ra sau, tăng FOV và tăng khoảng cách so với xe  
\- Các hiệu ứng được phân bậc: Bậc 1(Mới bắt đầu) -&gt; Thay đổi FOV và khoảng cách ở mức tối đa, Bâc 2(Còn 1/2 thanh) -&gt; FOV và khoảng cách thu hẹp dần về trạng thái bình thường nhưng vẫn giữ cảm giác nhanh, Bậc 3 (Hết NOS): Trả các thông số Camera về mặc định.  
\- Các thay đổi Camera khi Steer vẫn phải có hiệu lực và được cộng dồn vào hiệu ứng của NOS.  
\- Các thay đổi Camera này phải diễn ra thông qua biểu đồ Curve để đảm bảo quá trình chuyển đổi (Blending) mượt mà,"
378,"Là người chơi, tôi muốn Camera có phản hồi rung động khi va chạm để nhận biết được mức độ thiệt hại và tác động vật lý",User story,In specification,Phước Hồ Đức,Normal,"",12.0,"",Game Design,"","","",VNRacing,154,Feature #336: CAMERA,06/17/2026 08:38 AM,Giang Dương Võ Trà,"","\- Camera phải có hiệu ứng giật (Feedback) nhẹ ngược lại với hướng va chạm  
\- Camera phải có hiệu ứng rung nhẹ (Shake) ngược lại hướng bị tác động  
\- Sau hiệu ứng giật/rung, Camera phải hồi phục về trạng thái bình thường một cách mượt mà  
\- Các thay đổi Camera này phải diễn ra thông qua biểu đồ Curve để đảm bảo quá trình chuyển đổi (Blending) mượt mà,"
379,"Là người chơi, tôi muốn Camera tự động điều chỉnh độ cao và góc nhìn khi lên/xuống dốc để luôn quan sát được đoạn đường phía trước",User story,In progress,Phước Hồ Đức,Normal,"",14.0,"",Game Design,"",User Story Submit ( 15/6-28/6/2026) ,"",VNRacing,6,Feature #336: CAMERA,06/17/2026 08:39 AM,Giang Dương Võ Trà,"","\- Khi vào vùng dốc, Camera phải phóng đại FOV nhẹ, di chuyển lên trên (trục Z) và lùi về sau (trục X)  
\- Camera phải cao hơn bình thường để người chơi thấy được đỉnh dốc hoặc chân dốc  
\- Để tránh lỗi hiển thị lúc bắt đầu đua, hiệu ứng này chỉ được kích hoạt 10 giây sau khi cuộc đua bắt đầu  
\- Các thay đổi Camera này phải diễn ra thông qua biểu đồ Curve để đảm bảo quá trình chuyển đổi (Blending) mượt mà,"
380,DriveMode - Camera - NOS,Task,In progress,Như Trương,Normal,14.0,"","",Dev,"","","",VNRacing,155,Summary task #397: Dev_Implement_US377 - Camera - NOS,06/17/2026 08:39 AM,Long Trần Anh Thượng,Long Trần Anh Thượng,"\- Khi kích hoạt NOS, Camera phải giật mạnh ra sau, tăng FOV và tăng khoảng cách so với xe  
\- Các hiệu ứng được phân bậc: Bậc 1(Mới bắt đầu) -&gt; Thay đổi FOV và khoảng cách ở mức tối đa, Bâc 2(Còn 1/2 thanh) -&gt; FOV và khoảng cách thu hẹp dần về trạng thái bình thường nhưng vẫn giữ cảm giác nhanh, Bậc 3 (Hết NOS): Trả các thông số Camera về mặc định.  
\- Các thay đổi Camera khi Steer vẫn phải có hiệu lực và được cộng dồn vào hiệu ứng của NOS.  
\- Các thay đổi Camera này phải diễn ra thông qua biểu đồ Curve để đảm bảo quá trình chuyển đổi (Blending) mượt mà"
381,"Là người chơi, tôi muốn Camera thay đổi góc nhìn khi xe bay trên không để quan sát được vị trí tiếp đất an toàn",User story,In specification,Phước Hồ Đức,Normal,"",8.0,"",Game Design,"","","",VNRacing,156,Feature #336: CAMERA,06/17/2026 08:39 AM,Giang Dương Võ Trà,"","\- Ngay khi xe rời Ramp hoặc rơi từ trên cao, Camera phải có hiệu ứng chúc xuống và đưa ra xa  
\- Hiệu ứng này phải đảm bảo người chơi thấy được phần mặt đường trước mặt xe để chuẩn bị tiếp đất  
\- Hiệu ứng Camera OnAir phải được duy trì liên tục cho đến khi xe chạm đất hoàn toàn mới trả về trạng thái đua bình thường  
\- Khi tiếp đất, Camera có hiệu ứng rung lắc nhẹ thể hiện Impact khi tiếp đất, hiệu ứng phụ thuộc vào tốc độ và độ cao tối đa của xe trước khi tiếp đất.  
\- Các thay đổi Camera này phải diễn ra thông qua biểu đồ Curve để đảm bảo quá trình chuyển đổi (Blending) mượt mà,"
382,Implement_US 375_  Camera - Steering,Summary task,Developed,Long Trần Anh Thượng,Normal,"",8.0,"",Dev,"","","",VNRacing,157,"User story #375: Là người chơi, tôi muốn Camera di chuyển linh hoạt theo hướng bẻ lái để mở rộng tầm nhìn về phía góc cua và tăng cảm giác chân thực",06/17/2026 08:43 AM,Giang Dương Võ Trà,"",""
383,DriveMode - Camera - Collision,Task,New,Như Trương,Normal,12.0,"","",Dev,"","","",VNRacing,158,Summary task #399: Dev_Implment_US 378_  Camera - Collision,06/17/2026 08:43 AM,Long Trần Anh Thượng,Long Trần Anh Thượng,"\- Camera phải có hiệu ứng giật (Feedback) nhẹ ngược lại với hướng va chạm  
\- Camera phải có hiệu ứng rung nhẹ (Shake) ngược lại hướng bị tác động  
\- Sau hiệu ứng giật/rung, Camera phải hồi phục về trạng thái bình thường một cách mượt mà  
\- Các thay đổi Camera này phải diễn ra thông qua biểu đồ Curve để đảm bảo quá trình chuyển đổi (Blending) mượt mà,"
384,DriveMode - Camera - OnAir&TouchDown,Task,New,Như Trương,Normal,8.0,"","",Dev,"","","",VNRacing,159,"User story #381: Là người chơi, tôi muốn Camera thay đổi góc nhìn khi xe bay trên không để quan sát được vị trí tiếp đất an toàn",06/17/2026 08:44 AM,Long Trần Anh Thượng,Long Trần Anh Thượng,"\- Ngay khi xe rời Ramp hoặc rơi từ trên cao, Camera phải có hiệu ứng chúc xuống và đưa ra xa  
\- Hiệu ứng này phải đảm bảo người chơi thấy được phần mặt đường trước mặt xe để chuẩn bị tiếp đất  
\- Hiệu ứng Camera OnAir phải được duy trì liên tục cho đến khi xe chạm đất hoàn toàn mới trả về trạng thái đua bình thường  
\- Khi tiếp đất, Camera có hiệu ứng rung lắc nhẹ thể hiện Impact khi tiếp đất, hiệu ứng phụ thuộc vào tốc độ và độ cao tối đa của xe trước khi tiếp đất.  
\- Các thay đổi Camera này phải diễn ra thông qua biểu đồ Curve để đảm bảo quá trình chuyển đổi (Blending) mượt mà,"
385,-,Sub Feature,New,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,160,"",06/17/2026 08:47 AM,Phước Hồ Đức,"",""
386,Item Unlock,Sub Feature,New,Phước Hồ Đức,Normal,"",4.0,"",Game Design,"","","",VNRacing,161,Feature #329: City Progression,06/17/2026 08:48 AM,Phước Hồ Đức,"",""
388,Cập nhật ID gói bundle trên store,Task,On hold,Khan Vương Huỳnh,Normal,8.0,"","",Dev,"","","",VNRacing,163,Epic #366: SHOP & IAP,06/17/2026 09:11 AM,Long Trần Anh Thượng,Long Trần Anh Thượng,Cập nhật đủ các ID bundle trên store (Android &amp; iOS)
391,"Là người chơi, tôi muốn MiniMap hiển thị lộ trình, vị trí đối thủ và các điểm mốc quan trọng, đồng thời tự động thay đổi mức thu phóng theo tốc độ xe để hỗ trợ quan sát và định hướng hiệu quả trong suốt cuộc đua.",User story,Scheduled,Phước Hồ Đức,Normal,"",16.0,"",Game Design,"",User Story Submit ( 15/6-28/6/2026) ,"",VNRacing,1,Sub Feature #371: Minimap ,06/17/2026 09:18 AM,Giang Dương Võ Trà,"","&nbsp;Setup Map Test với đầy đủ các Elements có thể xuất hiện trên MiniMap  
\- MiniMap phải thể hiện đường đua (track) thông qua góc nhìn từ trên xuống (Top-Down)  
\- Các icon (đối thủ, vạch đích...) phải tự động giảm dần độ mờ (giảm Opacity) khi chúng di chuyển tiến gần về phía rìa ngoài cùng của khung hiển thị MiniMap  
\- Các lớp icon trên MiniMap phải tuân thủ thứ tự ưu tiên (Z-index) từ trên xuống dưới:  
       Ưu tiên cao nhất: Icon người chơi (luôn đè lên các icon khác khi trùng vị trí)  
       Ưu tiên trung bình: Icon đối thủ.  
       Ưu tiên thấp nhất: Icon Start/Finish Line, Checkpoint, và Item

\- MiniMap phải tự động thực hiện Zoom Out (thu nhỏ bản đồ) khi người chơi tăng tốc từ chậm sang nhanh (Slow Speed → Fast Speed) và Zoom In (phóng to bản đồ) khi xe giảm tốc độ hoặc phanh gấp"
392,"Implement_US391_Là người chơi, tôi muốn MiniMap hiển thị lộ trình, vị trí đối thủ và các điểm mốc quan trọng, đồng thời tự động thay đổi mức thu phóng theo tốc độ xe để hỗ trợ quan sát và định hướng hiệu quả trong suốt cuộc đua.",Summary task,In progress,Long Trần Anh Thượng,Normal,"",12.0,"",Dev,"","","",VNRacing,165,"User story #391: Là người chơi, tôi muốn MiniMap hiển thị lộ trình, vị trí đối thủ và các điểm mốc quan trọng, đồng thời tự động thay đổi mức thu phóng theo tốc độ xe để hỗ trợ quan sát và định hướng hiệu quả trong suốt cuộc đua.",06/17/2026 09:19 AM,Giang Dương Võ Trà,"",""
