ID WP,Subject,Type,Status,Assignee,Priority,Team,Work,Project,Finish date,Spent time,Start date,Created on,Updated on,Description
2003,"Là Player, tôi muốn có một Track Circuit trong Area Sơn Trà.",User story,,,,,,VNRacing,2026-01-21,P43DT7h,2025-09-12,2026-01-29T06:32:49.751Z,2026-01-30T09:29:49.096Z,"Điều kiện hoàn thành:  
1\. Game Design:

*   Hoàn thành Design Layout và Block Out 3D đua được.
    

2\. Concepts &amp; 2D:

*   Hoàn thành Concepts cho Track Sơn Trà Circuit.
    

3\. 3D:

*   Hoàn thành Asset cho Sơn Trà Circuit.
    

4\. Dev:

*   Gắn GameMode và các chức năng cần thiết cho Sơn Trà Circuit
    

5\. Level:

*   Hoàn thành lắp đặt Asset cho Sơn Trà Circuit.
    

6\. Performance:

*   Các bên liên quan đảm bảo Track luôn giữ ổn định 60 FPS.
    

7\. Sound &amp; Music:

*   Sử dụng Theme của Area.
    
*   Thêm các SFX cần thiết theo các yếu tố trong Level."
2004,"Là Player, tôi muốn có một Track TimeAttack trong Area Sơn Trà",User story,,,,,,VNRacing,2026-01-30,P7DT10h,2025-11-27,2026-01-29T06:34:29.106Z,2026-01-30T07:01:52.715Z,"Điều kiện hoàn thành:  
1\. Game Design:

*   Hoàn thành Design Layout và Block Out 3D đua được.
    

2\. Concepts &amp; 2D:

*   Hoàn thành Concepts cho Track Sơn Trà TA.
    

3\. 3D:

*   Hoàn thành Asset cho Sơn Trà TA.
    

4\. Dev:

*   Gắn GameMode và các chức năng cần thiết cho Sơn Trà TA
    

5\. Level:

*   Hoàn thành lắp đặt Asset cho Sơn Trà TA.
    

6\. Performance:

*   Các bên liên quan đảm bảo Track luôn giữ ổn định 60 FPS.
    

7\. Sound &amp; Music:

*   Sử dụng Theme của Area.
    
*   Thêm các SFX cần thiết theo các yếu tố trong Level."
2007,"Là Player, tôi muốn có một Track Circuit trong Area Hội An.",User story,,,,,,VNRacing,,0S,2026-01-29,2026-01-29T07:36:27.594Z,2026-01-29T07:36:39.334Z,"Điều kiện hoàn thành:  
1\. Game Design:

*   Hoàn thành Design Layout và Block Out 3D đua được.
    

2\. Concepts &amp; 2D:

*   Hoàn thành Concepts cho Track HA Circuit.
    

3\. 3D:

*   Hoàn thành Asset cho HA Circuit.
    

4\. Dev:

*   Gắn GameMode và các chức năng cần thiết cho HA Circuit
    

5\. Level:

*   Hoàn thành lắp đặt Asset cho HA Circuit.
    

6\. Performance:

*   Các bên liên quan đảm bảo Track luôn giữ ổn định 60 FPS.
    

7\. Sound &amp; Music:

*   Sử dụng Theme của Area.
    
*   Thêm các SFX cần thiết theo các yếu tố trong Level."
2009,"Là Player, tôi muốn có một Track Sprint trong Area Hội An.",User story,,,,,,VNRacing,2026-01-08,1h30M,2026-01-08,2026-01-29T07:39:19.543Z,2026-01-29T09:03:02.642Z,"Điều kiện hoàn thành:  
1\. Game Design:

*   Hoàn thành Design Layout và Block Out 3D đua được.
    

2\. Concepts &amp; 2D:

*   Hoàn thành Concepts cho Track HA Sprint.
    

3\. 3D:

*   Hoàn thành Asset cho HA Sprint.
    

4\. Dev:

*   Gắn GameMode và các chức năng cần thiết cho HA Sprint.
    

5\. Level:

*   Hoàn thành lắp đặt Asset cho HA Sprint.
    

6\. Performance:

*   Các bên liên quan đảm bảo Track luôn giữ ổn định 60 FPS.
    

7\. Sound &amp; Music:

*   Sử dụng Theme của Area.
    
*   Thêm các SFX cần thiết theo các yếu tố trong Level."
2010,"Là Player, tôi muốn có một Track TimeAttack trong Area Hội An.",User story,,,,,,VNRacing,,0S,2026-01-29,2026-01-29T07:40:05.850Z,2026-01-29T07:40:14.706Z,"Điều kiện hoàn thành:  
1\. Game Design:

*   Hoàn thành Design Layout và Block Out 3D đua được.
    

2\. Concepts &amp; 2D:

*   Hoàn thành Concepts cho Track HA TA
    

3\. 3D:

*   Hoàn thành Asset cho HA TA.
    

4\. Dev:

*   Gắn GameMode và các chức năng cần thiết cho HA TA.
    

5\. Level:

*   Hoàn thành lắp đặt Asset cho HA TA.
    

6\. Performance:

*   Các bên liên quan đảm bảo Track luôn giữ ổn định 60 FPS.
    

7\. Sound &amp; Music:

*   Sử dụng Theme của Area.
    
*   Thêm các SFX cần thiết theo các yếu tố trong Level."
2011,"Là Player, tôi muốn có một Track Circuit trong Area Ngũ Hành Sơn.",User story,,,,,,VNRacing,,0S,2026-01-29,2026-01-29T07:41:42.223Z,2026-01-29T07:41:42.350Z,"Điều kiện hoàn thành:  
1\. Game Design:

*   Hoàn thành Design Layout và Block Out 3D đua được.
    

2\. Concepts &amp; 2D:

*   Hoàn thành Concepts cho Track NHS Circuit
    

3\. 3D:

*   Hoàn thành Asset cho NHS Circuit.
    

4\. Dev:

*   Gắn GameMode và các chức năng cần thiết cho NHS Circuit.
    

5\. Level:

*   Hoàn thành lắp đặt Asset cho NHS Circuit.
    

6\. Performance:

*   Các bên liên quan đảm bảo Track luôn giữ ổn định 60 FPS.
    

7\. Sound &amp; Music:

*   Sử dụng Theme của Area.
    
*   Thêm các SFX cần thiết theo các yếu tố trong Level."
2013,"Là Player, tôi muốn có một Track Sprint trong Area Ngũ Hành Sơn",User story,,,,,,VNRacing,,0S,2026-01-29,2026-01-29T07:42:54.512Z,2026-01-29T07:42:54.624Z,"Điều kiện hoàn thành:  
1\. Game Design:

*   Hoàn thành Design Layout và Block Out 3D đua được.
    

2\. Concepts &amp; 2D:

*   Hoàn thành Concepts cho Track NHS Sprint.
    

3\. 3D:

*   Hoàn thành Asset cho NHS Sprint.
    

4\. Dev:

*   Gắn GameMode và các chức năng cần thiết cho NHS Sprint.
    

5\. Level:

*   Hoàn thành lắp đặt Asset cho NHS Sprint.
    

6\. Performance:

*   Các bên liên quan đảm bảo Track luôn giữ ổn định 60 FPS.
    

7\. Sound &amp; Music:

*   Sử dụng Theme của Area.
    
*   Thêm các SFX cần thiết theo các yếu tố trong Level."
2014,"Là Player, tôi muốn có một Track TimeAttack trong Area Ngũ Hành Sơn",User story,,,,,,VNRacing,,0S,2026-01-29,2026-01-29T07:43:43.957Z,2026-01-29T07:43:44.067Z,"Điều kiện hoàn thành:  
1\. Game Design:

*   Hoàn thành Design Layout và Block Out 3D đua được.
    

2\. Concepts &amp; 2D:

*   Hoàn thành Concepts cho Track NHS TA.
    

3\. 3D:

*   Hoàn thành Asset cho NHS TA.
    

4\. Dev:

*   Gắn GameMode và các chức năng cần thiết cho NHS TA.
    

5\. Level:

*   Hoàn thành lắp đặt Asset cho NHS TA.
    

6\. Performance:

*   Các bên liên quan đảm bảo Track luôn giữ ổn định 60 FPS.
    

7\. Sound &amp; Music:

*   Sử dụng Theme của Area.
    
*   Thêm các SFX cần thiết theo các yếu tố trong Level."
2015,"Là Player, tôi muốn có một Track Sprint trong Area DownTown.",User story,,,,,,VNRacing,,0S,2026-01-29,2026-01-29T07:44:56.333Z,2026-01-29T07:44:56.445Z,"Điều kiện hoàn thành:  
1\. Game Design:

*   Hoàn thành Design Layout và Block Out 3D đua được.
    

2\. Concepts &amp; 2D:

*   Hoàn thành Concepts cho Track DownTown Sprint.
    

3\. 3D:

*   Hoàn thành Asset cho DownTown Sprint.
    

4\. Dev:

*   Gắn GameMode và các chức năng cần thiết cho DownTown Sprint.
    

5\. Level:

*   Hoàn thành lắp đặt Asset cho DownTown Sprint.
    

6\. Performance:

*   Các bên liên quan đảm bảo Track luôn giữ ổn định 60 FPS.
    

7\. Sound &amp; Music:

*   Sử dụng Theme của Area.
    
*   Thêm các SFX cần thiết theo các yếu tố trong Level."
2016,"Là Player, tôi muốn có một Track Circuit trong Area DownTown.",User story,,,,,,VNRacing,,0S,2026-01-29,2026-01-29T07:45:55.909Z,2026-01-29T07:45:56.007Z,"Điều kiện hoàn thành:  
1\. Game Design:

*   Hoàn thành Design Layout và Block Out 3D đua được.
    

2\. Concepts &amp; 2D:

*   Hoàn thành Concepts cho Track DownTown Circuit.
    

3\. 3D:

*   Hoàn thành Asset cho DownTown Circuit.
    

4\. Dev:

*   Gắn GameMode và các chức năng cần thiết cho DownTown Circuit.
    

5\. Level:

*   Hoàn thành lắp đặt Asset cho DownTown Circuit.
    

6\. Performance:

*   Các bên liên quan đảm bảo Track luôn giữ ổn định 60 FPS.
    

7\. Sound &amp; Music:

*   Sử dụng Theme của Area.
    
*   Thêm các SFX cần thiết theo các yếu tố trong Level."
2017,"Là Player, tôi muốn có một Track TimeAttack trong Area DownTown.",User story,,,,,,VNRacing,,0S,2026-01-29,2026-01-29T07:46:41.546Z,2026-01-29T07:46:41.648Z,"Điều kiện hoàn thành:  
1\. Game Design:

*   Hoàn thành Design Layout và Block Out 3D đua được.
    

2\. Concepts &amp; 2D:

*   Hoàn thành Concepts cho Track Downtown TA.
    

3\. 3D:

*   Hoàn thành Asset cho Downtown TA.
    

4\. Dev:

*   Gắn GameMode và các chức năng cần thiết cho Downtown TA.
    

5\. Level:

*   Hoàn thành lắp đặt Asset cho Downtown TA.
    

6\. Performance:

*   Các bên liên quan đảm bảo Track luôn giữ ổn định 60 FPS.
    

7\. Sound &amp; Music:

*   Sử dụng Theme của Area.
    
*   Thêm các SFX cần thiết theo các yếu tố trong Level."
2018,"Là Player, tôi muốn có một Track Sprint trong Area Đông Giang.",User story,,,,,,VNRacing,,0S,2026-01-29,2026-01-29T07:47:45.079Z,2026-01-29T07:47:45.190Z,"Điều kiện hoàn thành:  
1\. Game Design:

*   Hoàn thành Design Layout và Block Out 3D đua được.
    

2\. Concepts &amp; 2D:

*   Hoàn thành Concepts cho Track Đông Giang Sprint.
    

3\. 3D:

*   Hoàn thành Asset cho Đông Giang Sprint.
    

4\. Dev:

*   Gắn GameMode và các chức năng cần thiết cho Đông Giang Sprint.
    

5\. Level:

*   Hoàn thành lắp đặt Asset cho Đông Giang Sprint.
    

6\. Performance:

*   Các bên liên quan đảm bảo Track luôn giữ ổn định 60 FPS.
    

7\. Sound &amp; Music:

*   Sử dụng Theme của Area.
    
*   Thêm các SFX cần thiết theo các yếu tố trong Level."
2019,"Là Player, tôi muốn có một Track Circuit trong Area Đông Giang.",User story,,,,,,VNRacing,,0S,2026-01-29,2026-01-29T07:48:45.501Z,2026-01-29T07:48:45.605Z,"Điều kiện hoàn thành:  
1\. Game Design:

*   Hoàn thành Design Layout và Block Out 3D đua được.
    

2\. Concepts &amp; 2D:

*   Hoàn thành Concepts cho Track Đông Giang Circuit.
    

3\. 3D:

*   Hoàn thành Asset cho Đông Giang Circuit.
    

4\. Dev:

*   Gắn GameMode và các chức năng cần thiết cho Đông Giang Circuit.
    

5\. Level:

*   Hoàn thành lắp đặt Asset cho Đông Giang Circuit.
    

6\. Performance:

*   Các bên liên quan đảm bảo Track luôn giữ ổn định 60 FPS.
    

7\. Sound &amp; Music:

*   Sử dụng Theme của Area.
    
*   Thêm các SFX cần thiết theo các yếu tố trong Level."
2020,"Là Player, tôi muốn có một Track TimeAttack trong Area Đông Giang.",User story,,,,,,VNRacing,,0S,2026-01-29,2026-01-29T07:49:32.356Z,2026-01-29T07:49:32.483Z,"Điều kiện hoàn thành:  
1\. Game Design:

*   Hoàn thành Design Layout và Block Out 3D đua được.
    

2\. Concepts &amp; 2D:

*   Hoàn thành Concepts cho Track Đông Giang TA.
    

3\. 3D:

*   Hoàn thành Asset cho Đông Giang TA.
    

4\. Dev:

*   Gắn GameMode và các chức năng cần thiết cho Đông Giang TA.
    

5\. Level:

*   Hoàn thành lắp đặt Asset cho Đông Giang TA.
    

6\. Performance:

*   Các bên liên quan đảm bảo Track luôn giữ ổn định 60 FPS.
    

7\. Sound &amp; Music:

*   Sử dụng Theme của Area.
    
*   Thêm các SFX cần thiết theo các yếu tố trong Level."
1671,Toi muon co cai tam tang toc - cam giac phan khich khi chay qua-co tinh canh tranh ,User story,,,,,,VNRacing,2026-01-14,0S,2026-01-14,2026-01-14T02:54:04.020Z,2026-01-30T03:41:14.024Z,
1863,Test Feature OP Integration,Epic,New,,Normal,,,VNRacing,2026-01-23,0S,2025-12-31,2026-01-23T06:58:51.668Z,2026-01-23T07:09:53.785Z,
1867,Test Feature OP Review Build,User story,,,,,,VNRacing,2026-01-23,0S,2025-12-31,2026-01-23T07:02:14.024Z,2026-01-23T07:09:53.754Z,
1921,Level Design,Epic,In progress,,Normal,,,VNRacing,2026-02-05,P4DT18h34M48S,2025-10-28,2026-01-24T03:16:29.561Z,2026-02-02T09:06:41.637Z,
1040,MAP NGŨ HÀNH SƠN ,User story,,,,,,VNRacing,2026-01-21,22h45M,2025-11-04,2025-12-12T01:35:51.958Z,2026-01-28T04:47:22.582Z,
1048,MAP ĐÔNG GIANG,User story,,,,,,VNRacing,2026-01-21,17h,2025-11-04,2025-12-12T06:20:53.646Z,2026-02-02T09:06:41.599Z,
1280,MAP HỘI AN ,User story,,,,,,VNRacing,2026-02-05,P2DT4h19M48S,2025-10-28,2025-12-25T06:50:57.829Z,2026-02-02T02:46:45.249Z,
1281,MAP SƠN TRÀ,User story,,,,,,VNRacing,2026-01-19,6h30M,2025-10-28,2025-12-25T06:56:02.038Z,2026-01-29T08:52:23.584Z,
1282,DA NANG DOWNTOWN,User story,,,,,,VNRacing,2026-01-21,16h,2025-11-04,2025-12-25T06:56:20.231Z,2026-01-28T04:09:57.761Z,
1973,Feature Inventory,Feature,New,,Normal,,,VNRacing,2025-11-15,2h,2025-11-01,2026-01-28T03:02:29.920Z,2026-02-02T09:11:02.980Z,"Feature Inventory cho phép người chơi lưu trữ các Items mà mình thu thập được trong quá trình chơi Game.

Trong một tựa Game đua xe, đây không phải Feature chính nhưng vẫn cần thiết để người dùng có thể quản lý được số lượng Item mà mình tạo ra.

Feature này cần cho người chơi cảm giác thuận tiện trong thao tác, thông tin hiển thị rõ ràng và đầy đủ.

Feature này cần được thiết kế linh hoạt để có thể bổ sung thêm các chức năng khác phát sinh trong quá trình phát triển Game."
1993,"(Inventory) Là Player, tôi muốn có khả năng theo dõi số lượng Item mà mình đang sở hữu cũng như sử dụng nhanh các Item đó ngay trong thùng đồ để tiện lợi hơn trong quá trình kiểm kê và ra quyết định In-Game. ",User story,,,,,,VNRacing,2025-11-15,2h,2025-11-01,2026-01-28T08:51:39.289Z,2026-02-02T09:11:02.953Z,"Điều kiện hoàn thành:  
1\. Thực hiện chức năng Inventory:

*   Cho phép người chơi xem được các thông tin tổng quan và chi tiết về các Item đang sở hữu.
    
*   Phân loại các Item rõ ràng trong Inventory.
    
*   Sử dụng các Item đã được nêu ra trong US Item Related.
    

2\. GD cung cấp tài liệu mô tả các chức năng:

*   Các thông tin sẽ hiển thị trong Inventory.
    
*   Các chức năng người dùng có thể thực hiện được trong Inventory.
    
*   Cách thức hiển thị các Item khác nhau trong US Item Related.
    

3\. UI/UX:

*   Thiết kế giao diện hợp lý để người chơi có thể thấy được các thông tin cần thiết trên màn hình.
    
*   Thiết kế các luồng giao diện phụ để người chơi có thể truy cập các tính năng trong này.
    
*   Animation và FX đầy đủ cho các Elements trong UI.
    

4\. Concepts &amp; 2D:

*   Cung cấp các Asset cần thiết cho UI.
    
*   Cung cấp các Concepts khác cần thiết cho tính năng nếu cần thiết.
    

5\. Dev:

*   Phát triển các tính năng được mô tả trong GDD.
    
*   Đảm bảo các tính năng không xung đột với các tính năng đã có.
    
*   Đảm bảo các tính năng không bị Bug.
    

6\. Performance:

*   Các tính năng liên quan tới US không làm tụt FPS của game.
    

7\. Sound &amp; Music:

*   SFX liên quan tới các tương tác trên Screen."
1974, Items,Epic,New,,Normal,,,VNRacing,2026-02-06,P9DT4h30M36S,2026-01-07,2026-01-28T03:03:03.322Z,2026-02-02T09:20:47.680Z,"Epic Items là tập hợp các định nghĩa về các loại Items mà người chơi sưu tầm trong suốt quá trình chơi Game.

Items hỗ trợ cho Gameplay như tăng tốc trong cuộc đua, hỗ trợ va chạm.

Xe và Currency là một loại Items,

Items đóng vai trò điều tiết Progression của người chơi thông qua cơ chế Rewards.

Feature Item cần được thiết kế linh hoạt từ đầu để đảm bảo khả năng mở rộng thêm các tính năng trong quá trình phát triển.

<br>"
1975,"(Import Parts) Là Player, tôi muốn có các phần thưởng là các Items giúp tôi nâng cấp sức mạnh của xe trong quá trình chơi để tạo thêm động lực hoàn thành các cuộc đua.",User story,,,,,,VNRacing,2026-01-29,8h,2026-01-28,2026-01-28T03:20:07.176Z,2026-01-30T03:10:49.620Z,"Tiêu chí hoàn thành:&nbsp;  
1- Có Design rõ ràng về chức năng của Item này.

*   GD bổ sung chức năng của Item.
    
*   GD bổ sung các trường hợp xuất hiện của Item.
    

<br>

2 - Hình ảnh của Item In-Game

*   Item có hình ảnh bắt mắt, gợi ý đúng chức năng của Item đó.
    
*   Item xuất hiện đẹp và đồng bộ ở các Screen khác nhau.
    
*   Item có FX đầy đủ trong các trường hợp xuất hiện và kích hoạt.
    
*   Item có Animation đầy đủ trong các trường hợp xuất hiện và kích hoạt.
    

<br>

3 - Chức năng của Item

*   Item có đúng các chức năng mà GD liệt kê ở phần 1.
    
*   Chức năng của Item không xung đột với các chức năng khác.
    
*   Chức năng của Item không gây ra lỗi khi áp dụng với các hệ thống hiện tại.
    

<br>

4 - Performance

*   Item không gây tụt Performance khi kích hoạt và xuất hiện trên màn hình."
1976,"Là Player, tôi muốn Game có hệ thống mở hòm đồ ngẫu nhiên, các hòm đồ có thể thu thập trong quá trình chơi để tạo cảm giác kích thích khi thu thập và mở hòm đồ.",User story,,,,,,VNRacing,2026-01-29,12h,2026-01-26,2026-01-28T03:34:10.933Z,2026-01-29T03:49:39.796Z,"Tiêu chí hoàn thành:&nbsp;  
1- Có Design rõ ràng về chức năng của Item này.

*   GD bổ sung chức năng của Item hòm đồ ngẫu nhiên.
    
*   GD bổ sung các trường hợp xuất hiện của Item hòm đồ.
    
*   GD bổ sung cơ chế Drop Item ngẫu nhiện và tỉ lệ rớt đồ
    

2 - Hình ảnh của Item In-Game

*   Item có hình ảnh bắt mắt, gợi ý đúng chức năng của Item đó.
    
*   Item xuất hiện đẹp và đồng bộ ở các Screen khác nhau.
    
*   Item có FX đầy đủ trong các trường hợp xuất hiện và kích hoạt.
    
*   Item có Animation đầy đủ trong các trường hợp xuất hiện và kích hoạt.
    

<br>

3 - Chức năng của Item

*   Item có đúng các chức năng mà GD liệt kê ở phần 1.
    
*   Chức năng của Item không xung đột với các chức năng khác.
    
*   Chức năng của Item không gây ra lỗi khi áp dụng với các hệ thống hiện tại.
    

4 - Performance

*   Item không gây tụt Performance khi kích hoạt và xuất hiện trên màn hình."
1977,"Là Player, tôi muốn các đơn vị tiền tệ để trao đổi buôn bán In-Game rõ ràng, minh bạch và dễ hiểu để có thể thuận tiện thực hiện các hành vi mua bán In-Game.",User story,,,,,,VNRacing,2026-02-06,0S,2026-02-06,2026-01-28T03:40:00.207Z,2026-02-02T09:20:47.652Z,"Tiêu chí hoàn thành:&nbsp;  
1- Có Design rõ ràng về chức năng của các Currency In-Game:

*   GD bổ sung danh sách các đơn vị  Currency In-Game và UseCases của các Item đó.
    

<br>

2 - Hình ảnh của Currency In-Game

*   Currency có hình ảnh bắt mắt, gợi ý đúng chức năng của Currency đó.
    
*   Currency xuất hiện đẹp và đồng bộ ở các Screen khác nhau.
    
*   Currency có FX đầy đủ trong các trường hợp xuất hiện và kích hoạt.
    
*   Currency có Animation đầy đủ trong các trường hợp xuất hiện và kích hoạt.
    

<br>

3 - Chức năng của Currency

*   Currency có đúng các chức năng được GD phân loại ở mục 1.
    
*   Chức năng của Currency không xung đột với các chức năng khác.
    
*   Chức năng của Currency không gây ra lỗi khi áp dụng với các hệ thống hiện tại.
    

<br>

4 - Performance

*   Việc sử dụng các chức năng tăng giảm Currency không làm tụt Performance."
1979,"Là Player, tôi muốn Game có hệ thống Item phong phú đủ phục vụ cho các chức năng liên quan In-Game để có cảm giác Game có số lượng Content lớn.",User story,,,,,,VNRacing,2026-01-28,0S,2026-01-28,2026-01-28T04:28:55.308Z,2026-02-02T04:59:45.476Z,"Điều kiện hoàn thành:  
1\. &nbsp;Thiết kế và phân loại hệ thống Item

*   GD thiết kế và phân loại hệ thống Item dùng trong bản Release.
    
*   GD liệt kê danh sách các Item.
    

2\. Cấu trúc hệ thống:

*   Dev dựa trên hệ thống Item, thiết kế cấu trúc lưu trữ cho Item In-Game.
    
*   Dev Update danh sách Item vào Game theo danh sách của GD.
    
*   Hệ thống Item không gây ra xung đột với các hệ thống có sẵn In-Game.
    
*   Hệ thống Item không có lỗi khi truy vấn và tìm kiếm các Item cần thiết cho các chức năng."
2008,ITEM_CARS ,Epic,New,,Normal,,,VNRacing,2026-02-03,P8DT8h30M36S,2026-01-07,2026-01-29T07:38:19.552Z,2026-02-02T07:58:12.294Z,"Mỗi thành phố sẽ Unlock từ 1-3 xe mới, dự định sẽ làm khoảng 50 xe.

Mỗi xe được chia làm 7 phần (Body tổng, Front Bumper, Rear Bumper, SideSkirt, Roof, Spoiler, Wheels).

Tài liệu check List chi tiết --&gt; Link

Danh sách xe hiện tại:

*   VinFast VF Lux A 2.0.
    
*   VinFast VF 8,
    
*   Mercedes GTR AMG 2026
    

Danh sách xe tương tai:

*   Toyota Lexus Electrified Sport
    
*   Porsche 718 Cayman S
    
*   Shelby GT 500
    
*   Bugatti Tourbillon
    
*   BMW M3 GTR"
1994,VF8_Car,User story,,Phuoc Ho Duc,,,,VNRacing,2026-02-03,P4DT8h30M36S,2026-01-13,2026-01-29T02:19:06.104Z,2026-02-02T07:58:12.266Z,
2001,SEDAN_CAR ,User story,,,,,,VNRacing,2026-02-03,0S,2026-01-27,2026-01-29T06:25:57.368Z,2026-01-30T03:46:13.015Z,
2005,Mercedes_Car,User story,,,,,,VNRacing,2026-01-20,P4D,2026-01-07,2026-01-29T06:40:54.909Z,2026-01-29T08:02:08.688Z,
1983,Menu Game Features,Epic,New,Phuoc Ho Duc,Normal,,,VNRacing,2026-01-30,P11DT2h,2025-12-11,2026-01-28T06:22:05.654Z,2026-01-30T04:42:25.361Z,"VN Racing có nhiều Screen khác nhau để phục các mục đích khác nhau trong Gameplay.

Các GameScreen thường bao gồm các &nbsp;yếu tố như: Levels, UI, FX, Music, Text Content.

Các Game Screen trong Feature này thường sẽ liên quan nhiều tới các Feature khác nhau.."
1930,Main Menu Game,User story,,,,,,VNRacing,2026-01-21,P11DT2h,2025-12-11,2026-01-24T09:18:03.254Z,2026-01-30T02:22:27.478Z,"<br>

Là Player, tôi muốn Game có một Screen MainMenu đẹp gọn gàng, hiển thị đầy đủ các thông tin cần thiết và có lối tắt tới các chức năng chính của Game để tôi có thể nhanh chóng nắm bắt thông tin và truy cập các tác vụ mà tôi muốn.

<br>

<img class=""op-uc-image op-uc-image_inline"" src=""/api/v3/attachments/1899/content""> Điều kiện hoàn thành:&nbsp;

1\.  Level Main Menu:

*   Thấy được xe của người chơi đang sử dụng.
    
*   Level MainMenu đẹp, tôn lên vẻ đẹp của xe, nhẹ không ảnh hưởng tới Performance chung.
    
*   Không có lỗi Graphic (Dăm hình, xuyên Mesh, v.v)
    

2\. UI MainMenu:

*   Đẹp và gọn gàng, thể hiện đẩy đủ các thông tin, có đầy đủ Animation và FX khi tương tác:
    
    *   Oveview tình trạng tiền Cash và Click đang sở hữu.
        
    *   Nhiệm vụ hằng ngày.
        
    *   Tiến trình đua hiện tại trong VN Tour Mode.
        
    *   Thông báo các sự kiện đặc biệt đang diễn ra.
        
    *   Thông tin Tooltips nếu Game State đạt đủ điều kiện kích hoạt.
        
*   Đầy đủ lối tắt tới các chức năng chính của Game:
    
    *   Chơi SinglePlayer.
        
    *   Chơi Multiplayer.
        
    *   Đổi Xe.
        
    *   Customize Xe.
        
    *   Vào thùng đồ.
        
    *   Xem thông tin User Profile.
        
    *   Xem thông tin Achievement.
        
    *   Xem thông tin Daily Challenges.
        
    *   Đổi Setting Game.
        
    *   Vào Shop mua sắm.
        
    *   Xem tin nhắn gửi tới từ hệ thống.
        
*   Không có lỗi UI (Tai thỏ, tràn viền, v.v)
    

3\. Performance:

*   Ổn định ở mức 60FPS trên Target máy. (iOS &amp; Android)
    
*   Không làm nóng máy khi để Idle trong khoảng 30 phút.
    

4\. Sound &amp; Music:

*   Nhạc nền cho MainMenu.
    
*   Các SFX khi tương tác với các chức năng UI và các sự kiện khác trên Screen này.
    

<br>"
1984,"Là Player, tôi muốn Game Mode VnTour có thể chơi được với ít chạm nhất trên màn hình để nhanh chóng vào cuộc đua.",User story,,,,,,VNRacing,,0S,2026-01-28,2026-01-28T06:33:52.048Z,2026-01-28T07:04:19.549Z,"Điều kiện hoàn thành:&nbsp;  
1\. UI/UX:

*   Mất không quá 5 chạm để người chơi có thể vào đua trong VN Tour.
    
*   Tối ưu hóa Flow người chơi để vào được GameMode VN Tour.
    
*   Tối ưu hóa Flow người chơi để đua được các Track trong GameMode VN Tour.
    
*   Tôi ưu hóa thao tác của người chơi, hiển thị các yếu tố UI rõ ràng để người chơi có thể dễ dàng thao tác.
    
*   Có đầy đủ Animation và FX khi tương tác.
    
*   Không có lỗi UI (Tai thỏ, tràn viền, v.v)
    

2\. Screen Transition &amp; Level Transition &amp;  UI Animation:

*   Chuyển đổi giữa Các Screen nhanh, mất không quá 0.5 giây để người chơi có thể thao tác được trên Screen tiếp theo.
    
*   Chuyển đổi giữa các Level gắn với các Screen nhanh, không bị khựng lại để đợi load Assets.
    

3\. Performance:

*   Ổn định ở mức 60FPS trên Target máy. (iOS &amp; Android)
    
*   Không làm nóng máy khi để Idle trong khoảng 30 phút.
    

4\. Sound &amp; Music:

*   Chuyển đổi nhạc nền mượt khi chạy qua các Screen.
    
*   Hiệu ứng SFX khi chuyển đổi"
2044,Car Selection,User story,,,,,,VNRacing,,0S,2026-01-30,2026-01-30T04:27:32.063Z,2026-01-30T04:33:08.609Z,"Là Player, tôi muốn có một Screen Car Selection cho phép tôi xem và đổi các xe tôi đang sở hữu.

<br>

Điều kiện hoàn thành:  
1\. Thực hiện chức năng Car Selection:

*   Thực hiện các chức năng có trong Screen Car Selection.
    

2\. GD cung cấp tài liệu mô tả các chức năng:

*   Các thông tin về chức năng Car Selection.
    
*   WireFrame của Screen.
    
    <br>
    

3\. UI/UX:

*   Thiết kế giao diện hợp lý để người chơi có thể thấy được các thông tin cần thiết trên màn hình.
    
*   Animation và FX đầy đủ cho các Elements trong UI.
    

4\. Concepts &amp; 2D:

*   Cung cấp các Asset cần thiết cho UI.
    
*   Cung cấp các Concepts khác cần thiết cho tính năng nếu cần thiết.
    

5\. Dev:

*   Phát triển các tính năng được mô tả trong GDD.
    
*   Đảm bảo các tính năng không xung đột với các tính năng đã có.
    
*   Đảm bảo các tính năng không bị Bug.
    

6\. Performance:

*   Các tính năng liên quan tới US không làm tụt FPS của game.
    

7\. Sound &amp; Music:

*   Theme riêng cho Car Selection.
    
*   SFX liên quan tới các tương tác trên Screen."
